name ecl_lat ecl_lon vmag color
"delta Corvi" -12.195112071964727 193.4477684210657 2.950000047683716 -0.05000000074505806
"epsilon Corvi" -19.67152493127056 191.661413793127 3.0 1.3300000429153442
Spica -2.054318616424058 203.8362485592472 0.9800000190734863 -0.23000000417232513
Arcturus 30.733488033199958 204.2282228864404 -0.03999999910593033 1.2300000190734863
"alpha Librae" 0.33313267943876823 225.0754201177936 2.75 0.15000000596046448
"beta Librae" 8.495120593341056 229.36411963728023 2.609999895095825 -0.10999999940395355
"gamma Librae" 4.385719818030446 235.1301398722888 3.9100000858306885 1.0099999904632568
"iota Librae" -1.8493309613454085 230.99708956369 4.539999961853027 -0.07999999821186066
"beta Scorpionis" 1.0075753273611623 243.18143928719243 2.619999885559082 -0.07000000029802322
"delta Scorpionis" -1.9858984571653 242.56275820544164 2.319999933242798 -0.11999999731779099
"pi Scorpionis" -5.475108816275348 242.93135533188135 2.890000104904175 -0.1899999976158142
"alpha Scorpionis" -4.569693929992894 249.75319624498667 0.9599999785423279 1.8300000429153442
"sigma Scorpionis" -4.037146665312951 247.79077766798721 2.890000104904175 0.12999999523162842
"tau Scorpionis" -6.120182468787084 251.44812794907673 2.819999933242798 -0.25
"epsilon Scorpionis" -11.738133793076528 255.3258689444221 2.2899999618530273 1.149999976158142
"zeta1 Scorpii" -19.657022826493595 257.11322904430887 4.730000019073486 0.49000000953674316
"zeta2 Scorpii" -19.64321765090687 257.2276943674554 3.619999885559082 1.3700000047683716
"eta Scorpionis" -20.18284642953065 260.7331916441032 3.3299999237060547 0.4099999964237213
"theta Scorpionis" -19.64457242633163 265.589821643526 1.8700000047683716 0.4000000059604645
"iota Scorpionis" -16.713983840732176 267.5128019246766 3.0299999713897705 0.5099999904632568
"kappa Scorpionis" -15.643983573228818 266.4598233772578 2.4100000858306885 -0.2199999988079071
"lambda Scorpionis" -13.788159443496482 264.5760388967243 1.6299999952316284 -0.2199999988079071
"mu Scorpionis" -15.42263942022102 256.1461775889111 3.0799999237060547 -0.20000000298023224
"nu Scorpionis" 1.6431648227448803 244.62886941518562 6.300000190734863 0.12999999523162842
"delta Sagittarii" -6.472148354287835 274.57141138811875 2.700000047683716 1.3799999952316284
"epsilon Sagittarii" -11.051816275218627 275.0687256835082 1.850000023841858 -0.029999999329447746
"zeta Sagittarii" -7.179137784120517 283.6286005854388 2.5999999046325684 0.07999999821186066
"sigma Sagittarii" -3.449503961282838 282.37558967002394 2.0199999809265137 -0.2199999988079071
"alpha Aquilae" 29.304495038492487 301.76637761216466 0.7699999809265137 0.2199999988079071
"beta Aquilae" 26.6600234669706 302.4137800842033 3.7100000381469727 0.8600000143051147
"gamma Aquilae" 31.244675113156937 300.92885065106293 2.7200000286102295 1.5199999809265137
"alpha Delphini" 33.024080195688704 317.371207917164 3.7699999809265137 -0.05999999865889549
"beta Delphini" 31.919849274966317 316.3322865826926 3.630000114440918 0.4399999976158142
"gamma Delphini" 32.70541751241696 319.35576875362244 5.139999866485596 0.49000000953674316
"delta Delphini" 31.945420718121188 318.10679744002755 4.429999828338623 0.3199999928474426
Sadachbia 8.235911773022414 336.7070612850086 3.8399999141693115 -0.05000000074505806
"alpha Pegasi" 19.40779602078498 353.48013282071355 2.490000009536743 -0.03999999910593033
"beta Pegasi" 31.143367648015868 359.3691709874098 2.4200000762939453 1.6699999570846558
"gamma Pegasi" 12.601123958497283 9.152227056203545 2.8299999237060547 -0.23000000417232513
"alpha Andromedae" 25.68298876550691 14.30524237929822 2.059999942779541 -0.10999999940395355
"zeta Piscium" -0.21354505224364267 19.87464973727629 5.239999771118164 0.3199999928474426
